rangeIndex,freqIndex,esperanto,esperantoAudio,english,englishTranslationSource,englishAudio,sampleUsage,sampleUsageAudio,relatedWords,relatedWordsAudio,esperantoAudioSource,rangeIndexOriginal,tags
3730,4907,referenco,[sound:referenco_eo_ll.mp3],"recommendation, reference, testimonial, referral, pointer (variable)",ESPDIC,,,,,,Lingua Libre,3212,"""#OpenSubtitles"""
3731,4935,longtempa,,"long (of time), long-duration, long-time",ESPDIC,,,,,,,1708,"""#OpenSubtitles"""
3732,4936,rompu,[sound:rompu_eo_ll.mp3],break (imperative),ChatGPT,,,,,,Lingua Libre,1236,"""#OpenSubtitles"""
3733,4961,manĝante,[sound:manĝante_eo_tts.mp3],while eating,OG,,"Manĝante picon, mia filo faligis ĝin sur la plankon.=While eating pizza, my son dropped it on the floor.",,,,TTS Voĉroboto,4145,*Participles [DuoLingo] Words-w-Affixes
3734,4996,interrompas,,interrupts,ChatGPT,,,,,,,1304,"""#OpenSubtitles"""
3735,5022,sciigu,,inform (imperative),ChatGPT,,,,,,,1328,"""#OpenSubtitles"""
3736,5029,enkonduki,[sound:enkonduki_eo_ll.mp3],to introduce,ESPDIC,,,,,,Lingua Libre,1344,"""#OpenSubtitles"""
3737,5075,starigi,[sound:starigi_eo_ll.mp3],"to erect, set up, stand",ESPDIC,,,,,,Lingua Libre,1409,"""#OpenSubtitles"""
3738,5107,konservos,,will keep,ChatGPT,,,,,,,1455,"""#OpenSubtitles"""
3739,5109,ekscios,,will find out,ChatGPT,,,,,,,1456,"""#OpenSubtitles"""
3740,5148,tuja,[sound:tuja_eo_ll.mp3],"immediate, on-the-fly, real time",ESPDIC,,,,,,Lingua Libre,2769,"""#OpenSubtitles"""
3741,1865,loke,,locally,ESPDIC,,,,,,,2299,"""#OpenSubtitles"""
3742,2498,masklo,[sound:masklo_eo_ll.mp3],male,ESPDIC,,,,,,Lingua Libre,1706,"""#OpenSubtitles"""
3743,2582,templo,[sound:templo_eo_ll.mp3],temple (worship),ESPDIC,,,,,,Lingua Libre,1109,"""#OpenSubtitles"""
3744,2660,ciu,,everyone,ChatGPT,,,,,,,2516,"""#OpenSubtitles"""
3745,2933,papa,,papal,ESPDIC,,,,,,,1455,"""#OpenSubtitles"""
3746,2969,shh,,shh,ChatGPT,,,,,,,1145,"""#OpenSubtitles"""
3747,3013,plato,[sound:plato_eo_ll.mp3],"board, plate, sheet, slab",ESPDIC,,,,,,Lingua Libre,1076,"""#OpenSubtitles"""
3748,3019,tunelo,[sound:tunelo_eo_ll.mp3],tunnel,ESPDIC,,,,,,Lingua Libre,270,"""#OpenSubtitles"""
3749,3193,maljunulino,[sound:maljunulino_eo_ll.mp3],"gammer, old woman",ESPDIC,,,,,,Lingua Libre,695,"""#OpenSubtitles"""
3750,3393,veneno,[sound:veneno_eo_ll.mp3],"poison, venom, virus",ESPDIC,,,,,,Lingua Libre,664,"""#OpenSubtitles"""
3751,3424,luktado,[sound:luktado_eo_ll.mp3],wrestling,ESPDIC,,,,,,Lingua Libre,181,"""#OpenSubtitles"""
3752,3503,geedzeco,[sound:geedzeco_eo_ll.mp3],"marriage, matrimony",ESPDIC,,,,,,Lingua Libre,484,"""#OpenSubtitles"""
3753,3535,petegas,,begs,ChatGPT,,,,,,,451,"""#OpenSubtitles"""
3754,3576,biblio,[sound:Biblio_eo_ll.mp3],bibliography,ChatGPT,,,,,,Lingua Libre,847,"""#OpenSubtitles"""
3755,3610,platformo,,"landing (in a staircase), platform",ESPDIC,,,,,,,431,"""#OpenSubtitles"""
3756,3642,c,[sound:C_eo_ll.mp3],C,ChatGPT,,,,,,Lingua Libre,321,"""#OpenSubtitles"""
3757,3650,roka,,"rocky, stony",ESPDIC,,,,,,,377,"""#OpenSubtitles"""
3758,3676,u,[sound:u_eo_ll.mp3],U,ChatGPT,,,,,,Lingua Libre,1351,"""#OpenSubtitles"""
3759,3677,meblo,[sound:Lepticed7_meblo.mp3],piece of furniture,OG,,Tiu meblo estas vestoŝranko.=That piece of furniture is a wardrobe.,,,,Esperanto.cards,8861,*Nouns [DuoLingo] [kontakto] [uea/facila] Home
3760,3713,savo,[sound:savo_eo_ll.mp3],"salvage, salvation, recovery",ESPDIC,,,,,,Lingua Libre,353,"""#OpenSubtitles"""
3761,3777,haltigu,[sound:haltigu_eo_ll.mp3],stop (imperative),ChatGPT,,,,,,Lingua Libre,186,"""#OpenSubtitles"""
3762,3793,trako,[sound:trako_eo_ll.mp3],"rut, track, traffic lane",ESPDIC,,,,,,Lingua Libre,375,"""#OpenSubtitles"""
3763,3847,brulanta,[sound:brulanta_eo_ll.mp3],"afire, burning",ESPDIC,,,,,,Lingua Libre,95,"""#OpenSubtitles"""
3764,4056,ordonas,,orders,ChatGPT,,,,,,,153,"""#OpenSubtitles"""
3765,4086,ĉapo,[sound:Lepticed7_ĉapo.mp3],"cap, bottle top",OG,,Kiom kostas tiu griza ĉapo?=How much does that gray cap cost?,,,,Esperanto.cards,17272,*Nouns [DuoLingo] Clothes
3766,4193,subtegmento,[sound:subtegmento_eo_ll.mp3],"attic, garret",ESPDIC,,,,,,Lingua Libre,404,"""#OpenSubtitles"""
3767,4238,ronda,[sound:ronda_eo_ll.mp3],round,ESPDIC,,,,,,Lingua Libre,140,"""#OpenSubtitles"""
3768,4324,nutraĵo,[sound:nutraĵo_eo_ll.mp3],"food, nourishment, sustenance",ESPDIC,,,,,,Lingua Libre,2206,"""#OpenSubtitles"""
3769,4334,vekita,,"aroused, awake",ESPDIC,,,,,,,555,"""#OpenSubtitles"""
3770,4365,traktita,,treated,ChatGPT,,,,,,,561,"""#OpenSubtitles"""
3771,4411,realo,[sound:Golmore_realo.mp3],reality,OG,,"En la realo, tio ne povus okazi.=In reality, that could not happen.",,,,,7353,*Nouns [DuoLingo] [uea/facila]
3772,4443,malsato,[sound:malsato_eo_ll.mp3],"hunger, famine",ESPDIC,,,,,,Lingua Libre,936,"""#OpenSubtitles"""
3773,4447,modo,[sound:modo_eo_ll.mp3],"fashion, mode, mood",ESPDIC,,,,,,Lingua Libre,1158,"""#OpenSubtitles"""
3774,4477,plurfoje,[sound:plurfoje_eo_ll.mp3],repeatedly,ESPDIC,,,,,,Lingua Libre,635,"""#OpenSubtitles"""
3775,4480,vestas,[sound:vestas_eo_ll.mp3],dresses,ChatGPT,,,,,,Lingua Libre,639,"""#OpenSubtitles"""
3776,4490,varmeca,,heating,ChatGPT,,,,,,,1945,"""#OpenSubtitles"""
3777,4506,patetika,,pathetic,ChatGPT,,,,,,,658,"""#OpenSubtitles"""
3778,4557,dieto,[sound:Lepticed7_dieto.mp3],diet,OG,,Mia dieto estas bona; tial mia sano estas bona.=My diet is good; that is why my health is good.,,,,Esperanto.cards,5397,*Nouns [DuoLingo] Food+Cooking
3779,4593,miksaĵo,,"admixture, mixture, mash",ESPDIC,,,,,,,1225,"""#OpenSubtitles"""
3780,4603,ekskuzo,,apology,ESPDIC,,,,,,,3019,"""#OpenSubtitles"""
3781,4676,sofo,[sound:Lepticed7_sofo.mp3],sofa,OG,,En la salono estas du grandaj sofoj.=There are two large sofas in the living room.,,,,Esperanto.cards,4810,*Nouns [DuoLingo] Home
3782,4681,rezignas,,resigns,ChatGPT,,,,,,,887,"""#OpenSubtitles"""
3783,4784,laciĝas,,gets tired,ChatGPT,,,,,,,1002,"""#OpenSubtitles"""
3784,4802,vekiĝi,[sound:Lepticed7_vekiĝi.mp3],to wake up,OG,,Je kioma horo vi vekiĝos morgaŭ?=At what time will you wake up tomorrow?Ŝi vekiĝis de sia dormo.=She woke up from her sleep.,,,,Esperanto.cards,4200,*Verbs::-ig-iĝ [DuoLingo] DailyLife
3785,4811,humila,[sound:humila_eo_ll.mp3],"humble, lowly, submissive",ESPDIC,,,,,,Lingua Libre,1792,"""#OpenSubtitles"""
3786,4823,naŭa,[sound:naŭa_eo_ll.mp3],ninth,ESPDIC,,,,,,Lingua Libre,1202,"""#OpenSubtitles"""
3787,4830,malfeliĉo,[sound:malfeliĉo_eo_ll.mp3],"accident, mischance, misfortune, mishap",ESPDIC,,,,,,Lingua Libre,1407,"""#OpenSubtitles"""
3788,4839,ridinde,,ridiculously,ESPDIC,,,,,,,1065,"""#OpenSubtitles"""
3789,4841,nomos,,will name,ChatGPT,,,,,,,1066,"""#OpenSubtitles"""
3790,4894,subita,[sound:Lepticed7_subita.mp3],"sudden, abrupt",OG,,,,,,Esperanto.cards,5445,*Adjectives [kontakto] [uea/facila]
3791,4919,trinkos,,will drink,ChatGPT,,,,,,,1153,"""#OpenSubtitles"""
3792,4976,transdonis,,transferred,ChatGPT,,,,,,,1213,"""#OpenSubtitles"""
3793,4987,priskribis,,described,ChatGPT,,,,,,,1228,"""#OpenSubtitles"""
3794,5024,ĝenanta,,annoying,ChatGPT,,,,,,,1273,"""#OpenSubtitles"""
3795,5030,malakcepti,[sound:malakcepti_eo_ll.mp3],to reject,ESPDIC,,,,,,Lingua Libre,1281,"""#OpenSubtitles"""
3796,5052,identigis,[sound:identigis_eo_ll.mp3],identified,ChatGPT,,,,,,Lingua Libre,1314,"""#OpenSubtitles"""
3797,5098,ricevus,[sound:ricevus_eo_ll.mp3],would receive,ChatGPT,,,,,,Lingua Libre,1379,"""#OpenSubtitles"""
3798,5111,frenezigas,,drives crazy,ChatGPT,,,,,,,1394,"""#OpenSubtitles"""
3799,5116,ruinigi,[sound:ruinigi_eo_ll.mp3],"to desolate, lay waste, ravage, ruin, devastate",ESPDIC,,,,,,Lingua Libre,1397,"""#OpenSubtitles"""
3800,5156,okaze,,"by chance, on occasion, casually, in that case, occasionally, sometimes",ESPDIC,,,,,,,1443,"""#OpenSubtitles"""
3801,1263,alex,,Alex,ChatGPT,,,,,,,3039,"""#OpenSubtitles"""
3802,1772,tony,,Tony,ChatGPT,,,,,,,2543,"""#OpenSubtitles"""
3803,2200,no,[sound:no_eo_ll.mp3],name of the letter N,ESPDIC,,,,,,Lingua Libre,2629,"""#OpenSubtitles"""
3804,2201,l,,L,ChatGPT,,,,,,,2084,"""#OpenSubtitles"""
3805,2336,pico,[sound:Lepticed7_pico.mp3],pizza,OG,,La pico estas bongusta.=The pizza is delicious.,,,,Esperanto.cards,5576,*Nouns [DuoLingo] Food+Cooking
3806,2505,ĉikago,[sound:Ĉikago_eo_ll.mp3],Chicago,ChatGPT,,,,,,Lingua Libre,1753,"""#OpenSubtitles"""
3807,2813,ĝemelo,[sound:Lepticed7_ĝemelo.mp3],twin,OG,,Ĝemeloj havas la samajn gepatrojn.=Twins have the same parents.,,dunaskito=twin,[sound:hypertts-2acf202bfce679e6fd5e213fc6ae6ee7cddac1183446a1ecb61cbc01.mp3],Esperanto.cards,14031,*Nouns [DuoLingo] People
3808,2946,okay,,okay,ChatGPT,,,,,,,1240,"""#OpenSubtitles"""
3809,3026,ege,[sound:ege_eo_ll.mp3],"extremely, greatly",ESPDIC,,,,,,Lingua Libre,1147,"""#OpenSubtitles"""
3810,3220,statuo,[sound:statuo_eo_ll.mp3],statue,ESPDIC,,,,,,Lingua Libre,1087,"""#OpenSubtitles"""
3811,3295,akademio,[sound:akademio_eo_ll.mp3],academy,ESPDIC,,,,,,Lingua Libre,732,"""#OpenSubtitles"""
3812,3925,influas,,influences,ChatGPT,,,,,,,81,"""#OpenSubtitles"""
3813,3972,delica,[sound:delica_eo_ll.mp3],delicate,ChatGPT,,,,,,Lingua Libre,235,"""#OpenSubtitles"""
3814,4043,rito,[sound:rito_eo_ll.mp3],rite,ESPDIC,,,,,,Lingua Libre,1479,"""#OpenSubtitles"""
3815,4053,ŝŝŝ,,shhh,ChatGPT,,,,,,,78,"""#OpenSubtitles"""
3816,4103,substanco,[sound:substanco_eo_ll.mp3],"matter, stuff, substance",ESPDIC,,,,,,Lingua Libre,944,"""#OpenSubtitles"""
3817,4136,plafono,[sound:Lepticed7_plafono.mp3],ceiling,OG,,La plafono de tiu ĉambro estas tre alta.=The ceiling of that room is very high.,,,,Esperanto.cards,5385,*Nouns [DuoLingo] [kontakto] [uea/facila] Home
3818,4169,gustumi,[sound:Lepticed7_gustumi.mp3],"to taste, to savour",OG,,Mi gustumas la manĝaĵon.=I taste the food.,,,,Esperanto.cards,4246,*Verbs [DuoLingo] Food+Cooking Words-w-Affixes
3819,4188,lojaleco,,"adherence, loyalty",ESPDIC,,,,,,,453,"""#OpenSubtitles"""
3820,4196,klifo,[sound:klifo_eo_ll.mp3],"cliff, crag, headland",ESPDIC,,,,,,Lingua Libre,571,"""#OpenSubtitles"""
3821,4234,imposto,[sound:Lepticed7_imposto.mp3],tax,OG,,Ĉu tiu firmao ĉiam pagas siajn impostojn akurate?=Does that company always pay its taxes on time?,,,,Esperanto.cards,11673,*Nouns [DuoLingo] Money+Shopping
3822,4289,faligu,[sound:faligu_eo_ll.mp3],drop (imperative),ChatGPT,,,,,,Lingua Libre,360,"""#OpenSubtitles"""
3823,4297,manĝejo,[sound:manĝejo_eo_ll.mp3],"dining hall, cafeteria, dining room",ESPDIC,,,,,,Lingua Libre,661,"""#OpenSubtitles"""
3824,4313,private,[sound:private_eo_ll.mp3],privately,ChatGPT,,,,,,Lingua Libre,386,"""#OpenSubtitles"""
3825,4315,surda,[sound:Lepticed7_surda.mp3],deaf,OG,,Unu el la diplomatoj estas surda.=One of the diplomats is deaf.,,,,Esperanto.cards,4695,*Adjectives [DuoLingo] People
3826,4464,jako,[sound:Lepticed7_jako.mp3],jacket,OG,,Ŝia griza jako estas el bona ŝtofo.=Her gray jacket is made of good fabric.,,,,Esperanto.cards,15001,*Nouns [DuoLingo] [uea/facila] Clothes
3827,4546,makulo,[sound:makulo_eo_ll.mp3],"blemish, blot, spot, stain",ESPDIC,,,,,,Lingua Libre,1523,"""#OpenSubtitles"""
3828,4571,trafas,,hits,ChatGPT,,,,,,,695,"""#OpenSubtitles"""
3829,4582,reprezentanto,[sound:reprezentanto_eo_ll.mp3],"agent, representative, emissary",ESPDIC,,,,,,Lingua Libre,1567,"""#OpenSubtitles"""
3830,4595,nervo,[sound:nervo_eo_ll.mp3],nerve,ESPDIC,,,,,,Lingua Libre,6212,"""#OpenSubtitles"""
3831,4605,cerba,[sound:cerba_eo_ll.mp3],brain,ESPDIC,,,,,,Lingua Libre,1330,"""#OpenSubtitles"""
3832,4640,nobla,[sound:nobla_eo_ll.mp3],"great, noble, honorable",ESPDIC,,,,,,Lingua Libre,1029,"""#OpenSubtitles"""
3833,4693,surpriza,,"startling, surprising, striking",ESPDIC,,,,,,,1545,"""#OpenSubtitles"""
3834,4711,alivorte,[sound:Lepticed7_alivorte.mp3],in other words,OG,,"Ili ŝatas labori, alivorte ili estas laboremaj.=They like to work, in other words, they are diligent.",,,,Esperanto.cards,4267,*Adverbs [DuoLingo] Expressions
3835,4721,digno,[sound:digno_eo_ll.mp3],"dignity, respect, self-worth, self-respect, worth",ESPDIC,,,,,,Lingua Libre,1162,"""#OpenSubtitles"""
3837,4758,kontanta,[sound:kontanta_eo_tts.mp3],cash,OG,,Ĉu vi preferas pagi kreditkarte aŭ kontante?=Do you prefer to pay by credit card or by cash?,,,,TTS Voĉroboto,5421,*Adjectives *Participles [DuoLingo] Money+Shopping
3838,4778,ĵuro,[sound:ĵuro_eo_ll.mp3],oath,ESPDIC,,,,,,Lingua Libre,1533,"""#OpenSubtitles"""
3839,4779,fora,[sound:fora_eo_ll.mp3],"distant, far, remote",ESPDIC,,,,,,Lingua Libre,1458,"""#OpenSubtitles"""
3840,4813,frapante,,striking,ChatGPT,,,,,,,973,"""#OpenSubtitles"""
3841,4824,imago,[sound:imago_eo_ll.mp3],imagination,ESPDIC,,,,,,Lingua Libre,956,"""#OpenSubtitles"""
3842,4848,rememoru,,remember (imperative),ChatGPT,,,,,,,1007,"""#OpenSubtitles"""
3843,4865,esenco,[sound:esenco_eo_ll.mp3],"essence, gist, substance, bottom line",ESPDIC,,,,,,Lingua Libre,1369,"""#OpenSubtitles"""
3844,4908,eksplodos,,will explode,ChatGPT,,,,,,,1071,"""#OpenSubtitles"""
3845,4928,vundas,[sound:vundas_eo_ll.mp3],hurts,ChatGPT,,,,,,Lingua Libre,1095,"""#OpenSubtitles"""
3846,4992,cedi,[sound:cedi_eo_ll.mp3],"to cede, give in, yield, comply, concede, grant, accommodate",ESPDIC,,,,,,Lingua Libre,1165,"""#OpenSubtitles"""
3847,5000,atesti,[sound:atesti_eo_ll.mp3],"to affirm, attest, (bear) witness, testify, certify, give evidence, vouch",ESPDIC,,,,,,Lingua Libre,1174,"""#OpenSubtitles"""
3848,5035,dirado,,saying,ESPDIC,,,,,,,1207,"""#OpenSubtitles"""
3849,5056,kunigu,,join (imperative),ChatGPT,,,,,,,1249,"""#OpenSubtitles"""
3850,5085,ekonomia,[sound:ekonomia_eo_ll.mp3],economic,ESPDIC,,,,,,Lingua Libre,1942,"""#OpenSubtitles"""
3851,5136,raportas,,reports,ChatGPT,,,,,,,1345,"""#OpenSubtitles"""
3852,5161,evitas,,avoids,ChatGPT,,,,,,,1373,"""#OpenSubtitles"""
3853,5162,kredus,,would believe,ChatGPT,,,,,,,1373,"""#OpenSubtitles"""
3854,5169,plenigas,,fills,ChatGPT,,,,,,,1378,"""#OpenSubtitles"""
3855,5187,rezignu,,"cancel, dismiss, forget",ESPDIC,,,,,,,1395,"""#OpenSubtitles"""
3856,5320,ŝajni,[sound:Lepticed7_ŝajni.mp3],to seem,OG,,"Ŝi ŝajnis esti atenta, sed tio ne estis ofta afero.=She seemed to be attentive, but that was not a common thing.",,"ŝajnigi=to pretend, to feign",[sound:hypertts-f02c242e5f4492bc7f2bc8f2a16de955f78bc12b50208ca06ff8d415.mp3],Esperanto.cards,4298,*Verbs [DuoLingo] [kontakto] [uea/facila]
3857,5394,embarasa,[sound:embarasa_eo_ll.mp3],"cumbersome, embarrassing, troublesome, awkward",ESPDIC,,,,,,Lingua Libre,1760,"""#OpenSubtitles"""
3858,1596,jane,,Jane,ChatGPT,,,,,,,2790,"""#OpenSubtitles"""
3859,1965,ŝerifo,[sound:ŝerifo_eo_ll.mp3],sheriff,ESPDIC,,,,,,Lingua Libre,2724,"""#OpenSubtitles"""
3860,2098,vetkuro,,race,ESPDIC,,,,,,,2259,"""#OpenSubtitles"""
3861,2146,konsilio,,"advisory board, advisory committee, council",ESPDIC,,,,,,,2165,"""#OpenSubtitles"""
3862,2661,maso,[sound:maso_eo_ll.mp3],"lump, mass, pile, heap",ESPDIC,,,,,,Lingua Libre,2063,"""#OpenSubtitles"""
3863,3003,feking,,freaking,ChatGPT,,,,,,,1242,"""#OpenSubtitles"""
3864,3298,veto,[sound:veto_eo_ll.mp3],"bet, wager, stake",ESPDIC,,,,,,Lingua Libre,375,"""#OpenSubtitles"""
3865,3378,ĉinio,[sound:Ĉinio_eo_ll.mp3],China,ChatGPT,,,,,,Lingua Libre,823,"""#OpenSubtitles"""
3866,3470,turneo,,(theatrical) tour,ESPDIC,,,,,,,395,"""#OpenSubtitles"""
3868,3640,piano,[sound:piano_eo_ll.mp3],piano,ESPDIC,,,,,,Lingua Libre,1085,"""#OpenSubtitles"""
3869,3726,defendanto,[sound:defendanto_eo_ll.mp3],defender,ESPDIC,,,,,,Lingua Libre,1342,"""#OpenSubtitles"""
3870,3755,kanabo,,"cannabis, hemp",ESPDIC,,,,,,,656,"""#OpenSubtitles"""
3871,3811,spiru,[sound:spiru_eo_ll.mp3],breathe (imperative),ChatGPT,,,,,,Lingua Libre,295,"""#OpenSubtitles"""
3872,3812,ambulanco,[sound:ambulanco_eo_ll.mp3],"ambulance, field hospital",ESPDIC,,,,,,Lingua Libre,277,"""#OpenSubtitles"""
3873,3828,kerno,[sound:kerno_eo_ll.mp3],"core, kernel, nucleus, pit, stone",ESPDIC,,,,,,Lingua Libre,196,"""#OpenSubtitles"""
3874,3890,oranĝa,[sound:oranĝa_eo_ll.mp3],orange,ESPDIC,,,,,,Lingua Libre,45,"""#OpenSubtitles"""
3875,3891,policstacio,,police station,ChatGPT,,,,,,,66,"""#OpenSubtitles"""
3876,3905,komuniki,[sound:Lepticed7_komuniki.mp3],to communicate,OG,,Lingvo estas rimedo por komuniki.=Language is a means of communicating.,,,,Esperanto.cards,4310,*Verbs [DuoLingo] [kontakto] [uea/facila] Communication+Language
3877,3960,ridetante,,smiling,ChatGPT,,,,,,,104,"""#OpenSubtitles"""
3878,4079,dimanĉe,[sound:Lepticed7_dimanĉe.mp3],on Sunday,OG,,Miaj amikoj kuras kun mi dimanĉe.=My friends run with me on Sundays.,,semajnfine=on the weekend,[sound:hypertts-845234b16352587602c59d501991a791b95184a639e228403c9d415d.mp3],Esperanto.cards,4317,*Adverbs Dates+Time+Events
3879,4124,tera,[sound:tera_eo_ll.mp3],"earthen, earthly, terrestrial",ESPDIC,,,,,,Lingua Libre,4,"""#OpenSubtitles"""
3880,4185,ĉefsidejo,,headquarters,ESPDIC,,,,,,,463,"""#OpenSubtitles"""
3881,4276,psikopato,[sound:psikopato_eo_ll.mp3],"psycho, psychopath",ESPDIC,,,,,,Lingua Libre,469,"""#OpenSubtitles"""
3882,4298,ĉasado,[sound:ĉasado_eo_ll.mp3],"chase, pursuit",ESPDIC,,,,,,Lingua Libre,669,"""#OpenSubtitles"""
3883,4341,kolono,[sound:kolono_eo_ll.mp3],"column, pillar, file, stack",ESPDIC,,,,,,Lingua Libre,338,"""#OpenSubtitles"""
3884,4355,gardu,,protect (imperative),ChatGPT,,,,,,,350,"""#OpenSubtitles"""
3885,4404,rutino,[sound:rutino_eo_ll.mp3],"routine, habit",ESPDIC,,,,,,Lingua Libre,1025,"""#OpenSubtitles"""
3886,4460,produkti,[sound:Lepticed7_produkti.mp3],"to produce, to bear",OG,,Kion produktas la firmao?=What does the company produce?,,,,Esperanto.cards,4332,*Verbs [DuoLingo] [kontakto]
3887,4568,ripetas,,repeats,ChatGPT,,,,,,,612,"""#OpenSubtitles"""
3888,4584,defenda,,defensive,ESPDIC,,,,,,,1033,"""#OpenSubtitles"""
3889,4591,geedziĝas,,gets married,ChatGPT,,,,,,,638,"""#OpenSubtitles"""
3890,4644,batalado,,warfare,ESPDIC,,,,,,,882,"""#OpenSubtitles"""
3891,4654,ĵuris,,swore,ChatGPT,,,,,,,708,"""#OpenSubtitles"""
3892,4669,pliiĝis,,increased,ChatGPT,,,,,,,725,"""#OpenSubtitles"""
3893,4683,malsupra,[sound:malsupra_eo_ll.mp3],bottom,ESPDIC,,,,,,Lingua Libre,1115,"""#OpenSubtitles"""
3894,4704,puŝita,[sound:puŝita_eo_ll.mp3],pushed,ChatGPT,,,,,,Lingua Libre,1073,"""#OpenSubtitles"""
3895,4798,marŝas,,marches,ChatGPT,,,,,,,877,"""#OpenSubtitles"""
3896,4840,pezas,[sound:pezas_eo_ll.mp3],weighs,ChatGPT,,,,,,Lingua Libre,919,"""#OpenSubtitles"""
3897,4868,starante,,standing,ChatGPT,,,,,,,951,"""#OpenSubtitles"""
3898,4881,taksi,[sound:Lepticed7_taksi.mp3],"to rate, to appraise, to estimate",OG,,Kiom aĝa vi taksas min?=How old do you think I am?Adamo taksas la libron interesa.=Adam considers the book interesting.,,,,Esperanto.cards,4352,*Verbs [DuoLingo]
3899,4883,salto,[sound:salto_eo_ll.mp3],"bound, jump, leap, spring, GOTO statement",ESPDIC,,,,,,Lingua Libre,1683,"""#OpenSubtitles"""
3900,4888,petita,[sound:petita_eo_ll.mp3],"brevier, requested",ESPDIC,,,,,,Lingua Libre,1040,"""#OpenSubtitles"""
3901,4896,plenumas,,fulfills,ChatGPT,,,,,,,981,"""#OpenSubtitles"""
3902,4925,veki,[sound:Lepticed7_veki.mp3],to wake,OG,,La koko kaj la birdoj vekas min matene.=The rooster and the birds awaken me in the morning.,,,,Esperanto.cards,4356,*Verbs [DuoLingo] [kontakto] [uea/facila] DailyLife
3903,4960,nuligi,[sound:Lepticed7_nuligi.mp3],"to cancel, to annul",OG,,Ni decidis nuligi nian konton.=We decided to cancel our account.,,,,Esperanto.cards,4359,*Verbs::-ig-iĝ [DuoLingo] Dates+Time+Events
3904,4969,partoprenis,[sound:partoprenis_eo_ll.mp3],participated,ChatGPT,,,,,,Lingua Libre,1056,"""#OpenSubtitles"""
3905,4975,interveni,[sound:interveni_eo_ll.mp3],"to interfere, intervene",ESPDIC,,,,,,Lingua Libre,1059,"""#OpenSubtitles"""
3906,4998,duonvoje,,"half the way, halfway (there)",ESPDIC,,,,,,,1089,"""#OpenSubtitles"""
3907,5003,eblo,[sound:Lepticed7_eblo.mp3],possibility,OG,,Tio estas bonega eblo.=That is an excellent possibility.,,,,Esperanto.cards,14329,*Nouns [DuoLingo] Words-w-Affixes
3908,5018,ĉeestanta,[sound:ĉeestanta_eo_ll.mp3],present,ESPDIC,,,,,,Lingua Libre,1726,"""#OpenSubtitles"""
3909,5048,paŝas,,steps,ChatGPT,,,,,,,1152,"""#OpenSubtitles"""
3910,5057,sunsubiro,[sound:Lepticed7_sunsubiro.mp3],sunset,OG,,Kiam okazos la sunsubiro vendredon?=When will sunset happen on Friday?,,,,Esperanto.cards,5961,*Nouns [DuoLingo] Nature+Weather
3911,5097,publike,,"openly, publicly",ESPDIC,,,,,,,1222,"""#OpenSubtitles"""
3912,5145,apliki,[sound:Lepticed7_apliki.mp3],"to apply, to use [something]",OG,,Li aplikis sian grandan scion al la problemo.=He applied his great knowledge to the problem.,,,,Esperanto.cards,4373,*Verbs [DuoLingo]
3913,5146,enmetas,,inserts,ChatGPT,,,,,,,1282,"""#OpenSubtitles"""
3914,5150,intertempe,[sound:Lepticed7_intertempe.mp3],"meanwhile, all the while",OG,,,,,,Esperanto.cards,4375,*Adverbs *Participles [DuoLingo] Dates+Time+Events
3915,5218,sekvata,[sound:sekvata_eo_ll.mp3],followed,ChatGPT,,,,,,Lingua Libre,1484,"""#OpenSubtitles"""
3916,5226,rompo,[sound:rompo_eo_ll.mp3],"fracture, rupture",ESPDIC,,,,,,Lingua Libre,1559,"""#OpenSubtitles"""
3917,5227,atentas,,pays attention,ChatGPT,,,,,,,1358,"""#OpenSubtitles"""
3918,5238,uzus,[sound:uzus_eo_ll.mp3],would use,ChatGPT,,,,,,Lingua Libre,1381,"""#OpenSubtitles"""
3919,5256,difinita,[sound:difinita_eo_ll.mp3],definite,ESPDIC,,,,,,Lingua Libre,1927,"""#OpenSubtitles"""
3920,5258,envolvita,,involved,ChatGPT,,,,,,,1736,"""#OpenSubtitles"""
3921,5285,profitas,,profits,ChatGPT,,,,,,,1433,"""#OpenSubtitles"""
3922,5300,gvidu,[sound:gvidu_eo_ll.mp3],lead (imperative),ChatGPT,,,,,,Lingua Libre,1449,"""#OpenSubtitles"""
3923,5327,revenus,[sound:revenus_eo_ll.mp3],would return,ChatGPT,,,,,,Lingua Libre,1479,"""#OpenSubtitles"""
3924,5328,indiki,[sound:indiki_eo_ll.mp3],"to indicate, suggest, designate, point",ESPDIC,,,,,,Lingua Libre,1480,"""#OpenSubtitles"""
3925,1551,ray,,Ray,ChatGPT,,,,,,,2925,"""#OpenSubtitles"""
3926,2374,muso,[sound:Lepticed7_muso.mp3],mouse,OG,,La muso manĝas oranĝon.=The mouse eats an orange.,,,,Esperanto.cards,6691,*Nouns [DuoLingo] [false-friends] [uea/facila] Animals Science+Technology
3927,2886,up,,up,ChatGPT,,,,,,,1454,"""#OpenSubtitles"""
3928,3269,fervojo,[sound:fervojo_eo_ll.mp3],"railroad, railway",ESPDIC,,,,,,Lingua Libre,811,"""#OpenSubtitles"""
3929,3585,sonoras,,rings,ChatGPT,,,,,,,624,"""#OpenSubtitles"""
3930,3919,mommy,,mommy,ChatGPT,,,,,,,263,"""#OpenSubtitles"""
